"In a closed container, when does a liquid-vapor system reach a state of dynamic equilibrium?",Equilibrium is reached when the rate of evaporation becomes equal to the rate of condensation.
What do the double half arrows (⇌) indicate in a chemical equation like $H_2O(l) \rightleftharpoons H_2O(vap)$?,They indicate that the processes in both the forward and reverse directions are occurring simultaneously.
"A system is in _____ when the rates of the forward and reverse reactions become equal, resulting in no net change in the concentrations of reactants and products.",dynamic equilibrium
What is the term for the temperature at which the solid and liquid phases of a pure substance are in equilibrium at atmospheric pressure?,Normal melting point or normal freezing point.
The constant pressure exerted by the vapor in equilibrium with its liquid at a given temperature is called the _____.,equilibrium vapor pressure
What is the normal boiling point of a liquid?,The temperature at which the liquid and its vapor are at equilibrium at one atmospheric pressure (1.013 bar).
"In a saturated solution, a dynamic equilibrium exists between the solute molecules in the solid state and in the solution, where the rate of dissolution equals the rate of _____.",crystallisation
What law states that the mass of a gas dissolved in a given mass of a solvent at any temperature is proportional to the pressure of the gas above the solvent?,Henry’s law.
Equilibrium is only possible in a _____ system at a given temperature.,closed
"What is the state of a chemical reaction where the rates of the forward and reverse reactions are equal, and the concentrations of reactants and products remain constant?",Chemical equilibrium.
"The Norwegian chemists Cato Maximillian Guldberg and Peter Waage proposed the law of _____ in 1864, which relates the concentrations in an equilibrium mixture.",mass action
"For the general reaction $aA + bB \rightleftharpoons cC + dD$, what is the expression for the equilibrium constant, $K_c$?",$K_c = \frac{[C]^c[D]^d}{[A]^a[B]^b}$
"If the equilibrium constant for a forward reaction is $K_c$, what is the equilibrium constant ($K'_c$) for the reverse reaction?",$K'_c = \frac{1}{K_c}$
"If a chemical equation is multiplied by a factor 'n', how does the new equilibrium constant ($K''_{c}$) relate to the original equilibrium constant ($K_c$)?",The new equilibrium constant is equal to the original constant raised to the power of 'n' ($K''_{c} = (K_c)^n$).
What is a homogeneous equilibrium?,An equilibrium in which all the reactants and products are in the same phase.
"For reactions involving gases, the equilibrium constant can be expressed in terms of partial pressures, symbolized as _____.",$K_p$
What is the relationship between $K_p$ and $K_c$ for a gaseous reaction?,$K_p = K_c(RT)^{\Delta n}$
"In the equation $K_p = K_c(RT)^{\Delta n}$, what does $\Delta n$ represent?",The difference between the number of moles of gaseous products and the number of moles of gaseous reactants in the balanced chemical equation.
What is a heterogeneous equilibrium?,An equilibrium in a system that has more than one phase.
Why are the concentrations of pure solids and pure liquids omitted from the equilibrium constant expression?,"Their molar concentrations are constant and do not change, regardless of the amount present."
"For the decomposition of calcium carbonate, $CaCO_3(s) \rightleftharpoons CaO(s) + CO_2(g)$, the equilibrium constant $K_p$ is equal to what?",$K_p = p_{CO_2}$
"If the value of the equilibrium constant $K_c$ is greater than $10^3$, what does this imply about the composition of the equilibrium mixture?","Products predominate over reactants, and the reaction proceeds nearly to completion."
"If the value of the equilibrium constant $K_c$ is less than $10^{-3}$, what does this suggest about the reaction?","Reactants predominate over products, and the reaction rarely proceeds to a significant extent."
"What is the reaction quotient, $Q_c$?","A value defined in the same way as the equilibrium constant, $K_c$, but using concentrations that are not necessarily at equilibrium."
"If the reaction quotient $Q_c$ is less than the equilibrium constant $K_c$, in which direction will the reaction proceed?",The reaction will proceed in the forward direction (towards the products).
"If the reaction quotient $Q_c$ is greater than the equilibrium constant $K_c$, in which direction will the reaction proceed?",The reaction will proceed in the reverse direction (towards the reactants).
"What is the relationship between the standard Gibbs free energy change, $\Delta G^\circ$, and the equilibrium constant, K?",$\Delta G^\circ = -RT \ln K$
"If $\Delta G^\circ$ is negative for a reaction, what can be inferred about the value of the equilibrium constant K?","$K$ will be greater than 1, implying the reaction is spontaneous and favors the products."
"If $\Delta G^\circ$ is positive for a reaction, what does this imply about the value of the equilibrium constant K?","$K$ will be less than 1, implying the reaction is non-spontaneous and favors the reactants."
What does Le Chatelier's principle state?,A change in any factor that determines the equilibrium conditions of a system will cause the system to change in a manner that reduces or counteracts the effect of the change.
"According to Le Chatelier's principle, if a reactant is added to a system at equilibrium, the equilibrium will shift in the direction that _____ the added substance.",consumes
"For the gaseous reaction $N_2(g) + 3H_2(g) \rightleftharpoons 2NH_3(g)$, how will increasing the pressure affect the equilibrium?","The equilibrium will shift to the right (forward direction), favoring the formation of ammonia, which has fewer moles of gas."
How does the addition of an inert gas at constant volume affect an equilibrium mixture?,It has no effect on the equilibrium as it does not change the partial pressures or molar concentrations of the reacting substances.
"For an exothermic reaction (negative $\Delta H$), how does increasing the temperature affect the equilibrium constant, $K$?",The equilibrium constant decreases as the temperature increases.
"For an endothermic reaction (positive $\Delta H$), how does increasing the temperature affect the equilibrium constant, $K$?",The equilibrium constant increases as the temperature increases.
What is the effect of a catalyst on a system at equilibrium?,A catalyst increases the rate of both forward and reverse reactions equally but does not affect the equilibrium composition or the value of the equilibrium constant.
Substances that conduct electricity in their aqueous solutions are called _____.,electrolytes
What is the main difference between strong and weak electrolytes?,"Strong electrolytes are almost completely ionized in water, while weak electrolytes are only partially dissociated."
"According to the Arrhenius theory, what is an acid?","A substance that dissociates in water to produce hydrogen ions, $H^+(aq)$."
"According to the Arrhenius theory, what is a base?","A substance that produces hydroxyl ions, $OH^-(aq)$, in water."
"According to the Brønsted-Lowry theory, an acid is a proton _____, and a base is a proton _____.",donor; acceptor
What is a conjugate acid-base pair?,An acid-base pair that differs by only one proton.
"If a Brønsted-Lowry acid is strong, its conjugate base is _____.",weak
What is the conjugate base of the Brønsted acid $H_2SO_4$?,"The bisulfate ion, $HSO_4^-$."
What is the conjugate acid of the Brønsted base $NH_3$?,"The ammonium ion, $NH_4^+$."
"According to G.N. Lewis, an acid is a species that _____ an electron pair.",accepts
